title,total_sales,na_sales,pal_sales,other_sales,console,genre,publisher,developer,release_date
Resident Evil: Operation Raccoon City,1.99,1.03,0.41000000000000003,0.5499999999999999,"PC, PS3, X360",Shooter,Capcom,Slant Six Games,2012-03-20
Tenchu: Stealth Assassins,1.99,0.95,0.64,0.4,PS,Action,Activision,Acquire,1998-08-31
Sniper: Ghost Warrior,1.9899999999999998,0.893903743315508,0.9045454545454544,0.19155080213903744,"PC, PS3, Series, X360, XBL",Shooter,City Interactive,City Interactive,2008-10-16
NASCAR 2005: Chase for the Cup,1.98,1.13,0.66,0.18999999999999995,"GC, PS2, XB",Racing,EA Sports,EA Tiburon,2004-08-31
Thief,1.98,0.8043750000000001,0.9178125,0.2578125,"PC, PS3, PS4, Series, X360, XOne",Action,Square Enix,Eidos Montreal,1998-12-01
E.T.: The Extra Terrestrial,1.97,1.84,0.11,0.019999999999999796,2600,Action,Atari,Atari,1982-01-01
Hot Shots Golf: Open Tee,1.96,0.5,0.5,0.96,"PSN, PSP",Sports,Sony Computer Entertainment,Clap Hanz,2005-05-03
Borderlands: The Handsome Collection,1.96,1.2172631578947368,0.48484210526315796,0.2578947368421053,"PS4, XOne",Shooter,2K Games,Gearbox Software,2015-03-24
NBA Live 2000,1.96,1.8499999999999999,0.07,0.040000000000000036,"N64, PC, PS",Sports,EA Sports,NuFX,1999-10-31
Brink,1.95,0.949740932642487,0.7678756476683938,0.23238341968911916,"PC, PS3, X360",Shooter,Bethesda Softworks,Splash Damage,2011-05-10
My Word Coach,1.95,0.8300000000000001,0.91,0.20999999999999974,"DS, Wii",Misc,Ubisoft,Ubisoft Montreal,2007-11-06
NCAA Football 08,1.95,1.71,0.05,0.18999999999999995,"PS2, PS3, X360, XB",Sports,Electronic Arts,EA Tiburon,2007-07-17
Skylanders Imaginators,1.95,0.88,0.83,0.24,"NS, PS3, PS4, WiiU, X360, XOne",Platform,Activision,Toys for Bob,2016-10-16
Forza Horizon,1.94,0.8116326530612246,0.9304081632653062,0.19795918367346943,X360,Racing,Microsoft Studios,Playground Games,2012-10-23
Jet Moto 2,1.94,1.4173056994818651,0.4221761658031088,0.10051813471502591,"PS, PSN",Racing,Sony Computer Entertainment,SingleTrac,1997-10-31
Ultimate Spider-Man,1.94,1.52,0.28,0.1399999999999999,"DS, GBA, GC, PC, PS2, XB",Action,Activision,Treyarch,2005-09-19
